Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i5 M60 xDrive Touring - Option ('33', '50000')","103.770,00 €",33 Monate,"24.148,55 €","1.522,29 €",50.000 km,"74.384,12 €"
"BMW i5 M60 xDrive Touring - Option ('33', '55000')","103.770,00 €",33 Monate,"24.148,55 €","1.580,85 €",55.000 km,"76.316,60 €"
"BMW i5 M60 xDrive Touring - Option ('33', '60000')","103.770,00 €",33 Monate,"24.148,55 €","1.639,41 €",60.000 km,"78.249,08 €"
"BMW i5 M60 xDrive Touring - Option ('33', '65000')","103.770,00 €",33 Monate,"24.148,55 €","1.697,97 €",65.000 km,"80.181,56 €"
"BMW i5 M60 xDrive Touring - Option ('33', '70000')","103.770,00 €",33 Monate,"24.148,55 €","1.756,53 €",70.000 km,"82.114,04 €"
"BMW i5 M60 xDrive Touring - Option ('33', '75000')","103.770,00 €",33 Monate,"24.148,55 €","1.815,10 €",75.000 km,"84.046,85 €"
"BMW i5 M60 xDrive Touring - Option ('33', '80000')","103.770,00 €",33 Monate,"24.148,55 €","1.873,66 €",80.000 km,"85.979,33 €"
"BMW i5 M60 xDrive Touring - Option ('36', '5000')","103.770,00 €",36 Monate,"24.148,55 €","935,90 €",5.000 km,"57.840,95 €"
"BMW i5 M60 xDrive Touring - Option ('36', '10000')","103.770,00 €",36 Monate,"24.148,55 €","989,24 €",10.000 km,"59.761,19 €"
"BMW i5 M60 xDrive Touring - Option ('36', '15000')","103.770,00 €",36 Monate,"24.148,55 €","1.015,91 €",15.000 km,"60.721,31 €"
"BMW i5 M60 xDrive Touring - Option ('36', '20000')","103.770,00 €",36 Monate,"24.148,55 €","1.042,58 €",20.000 km,"61.681,43 €"
"BMW i5 M60 xDrive Touring - Option ('36', '25000')","103.770,00 €",36 Monate,"24.148,55 €","1.122,59 €",25.000 km,"64.561,79 €"
"BMW i5 M60 xDrive Touring - Option ('36', '30000')","103.770,00 €",36 Monate,"24.148,55 €","1.202,60 €",30.000 km,"67.442,15 €"
"BMW i5 M60 xDrive Touring - Option ('36', '35000')","103.770,00 €",36 Monate,"24.148,55 €","1.309,28 €",35.000 km,"71.282,63 €"
"BMW i5 M60 xDrive Touring - Option ('36', '40000')","103.770,00 €",36 Monate,"24.148,55 €","1.362,62 €",40.000 km,"73.202,87 €"
"BMW i5 M60 xDrive Touring - Option ('36', '45000')","103.770,00 €",36 Monate,"24.148,55 €","1.442,63 €",45.000 km,"76.083,23 €"
"BMW i5 M60 xDrive Touring - Option ('36', '50000')","103.770,00 €",36 Monate,"24.148,55 €","1.495,97 €",50.000 km,"78.003,47 €"
"BMW i5 M60 xDrive Touring - Option ('36', '55000')","103.770,00 €",36 Monate,"24.148,55 €","1.549,31 €",55.000 km,"79.923,71 €"
"BMW i5 M60 xDrive Touring - Option ('36', '60000')","103.770,00 €",36 Monate,"24.148,55 €","1.602,65 €",60.000 km,"81.843,95 €"
"BMW i5 M60 xDrive Touring - Option ('36', '65000')","103.770,00 €",36 Monate,"24.148,55 €","1.655,99 €",65.000 km,"83.764,19 €"
"BMW i5 M60 xDrive Touring - Option ('36', '70000')","103.770,00 €",36 Monate,"24.148,55 €","1.709,33 €",70.000 km,"85.684,43 €"
"BMW i5 M60 xDrive Touring - Option ('36', '75000')","103.770,00 €",36 Monate,"24.148,55 €","1.762,68 €",75.000 km,"87.605,03 €"
"BMW i5 M60 xDrive Touring - Option ('36', '80000')","103.770,00 €",36 Monate,"24.148,55 €","1.762,68 €",75.000 km,"87.605,03 €"
