Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX M70 xDrive - Option ('33', '60000')","128.650,00 €",33 Monate,"22.792,54 €","2.269,71 €",60.000 km,"97.692,97 €"
"BMW iX M70 xDrive - Option ('33', '65000')","128.650,00 €",33 Monate,"22.792,54 €","2.342,83 €",65.000 km,"100.105,93 €"
"BMW iX M70 xDrive - Option ('33', '70000')","128.650,00 €",33 Monate,"22.792,54 €","2.415,96 €",70.000 km,"102.519,22 €"
"BMW iX M70 xDrive - Option ('33', '75000')","128.650,00 €",33 Monate,"22.792,54 €","2.489,09 €",75.000 km,"104.932,51 €"
"BMW iX M70 xDrive - Option ('33', '80000')","128.650,00 €",33 Monate,"22.792,54 €","2.562,21 €",80.000 km,"107.345,47 €"
"BMW iX M70 xDrive - Option ('36', '5000')","128.650,00 €",36 Monate,"22.792,54 €","1.370,48 €",5.000 km,"72.129,82 €"
"BMW iX M70 xDrive - Option ('36', '10000')","128.650,00 €",36 Monate,"22.792,54 €","1.437,13 €",10.000 km,"74.529,22 €"
"BMW iX M70 xDrive - Option ('36', '15000')","128.650,00 €",36 Monate,"22.792,54 €","1.470,46 €",15.000 km,"75.729,10 €"
"BMW iX M70 xDrive - Option ('36', '20000')","128.650,00 €",36 Monate,"22.792,54 €","1.503,78 €",20.000 km,"76.928,62 €"
"BMW iX M70 xDrive - Option ('36', '25000')","128.650,00 €",36 Monate,"22.792,54 €","1.603,76 €",25.000 km,"80.527,90 €"
"BMW iX M70 xDrive - Option ('36', '30000')","128.650,00 €",36 Monate,"22.792,54 €","1.703,74 €",30.000 km,"84.127,18 €"
"BMW iX M70 xDrive - Option ('36', '35000')","128.650,00 €",36 Monate,"22.792,54 €","1.837,04 €",35.000 km,"88.925,98 €"
"BMW iX M70 xDrive - Option ('36', '40000')","128.650,00 €",36 Monate,"22.792,54 €","1.837,04 €",35.000 km,"88.925,98 €"
"BMW iX M70 xDrive - Option ('36', '45000')","128.650,00 €",36 Monate,"22.792,54 €","2.003,66 €",45.000 km,"94.924,30 €"
