date,website,model,full price
2025-04-07 07:40:09.852276,https://www.bmw.de/de/neufahrzeuge.html,X1,"Ab 47.200,00 €"
2025-04-07 07:40:09.899568,https://www.bmw.de/de/neufahrzeuge.html,8 er,"Ab 113.500,00 €"
2025-04-07 07:40:09.949235,https://www.bmw.de/de/neufahrzeuge.html,8 er,"Ab 110.500,00 €"
2025-04-07 07:40:10.010015,https://www.bmw.de/de/neufahrzeuge.html,8 er,"Ab 121.500,00 €"
2025-04-07 07:40:10.061569,https://www.bmw.de/de/neufahrzeuge.html,7 er,"Ab 118.200,00 €"
2025-04-07 07:40:10.112829,https://www.bmw.de/de/neufahrzeuge.html,5 er,"Ab 61.300,00 €"
2025-04-07 07:40:10.159189,https://www.bmw.de/de/neufahrzeuge.html,5 er,"Ab 63.300,00 €"
2025-04-07 07:40:10.212094,https://www.bmw.de/de/neufahrzeuge.html,4 er,"Ab 56.100,00 €"
2025-04-07 07:40:10.247816,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 56.100,00 €"
2025-04-07 07:40:10.292725,https://www.bmw.de/de/neufahrzeuge.html,4 er,"Ab 56.100,00 €"
2025-04-07 07:40:10.335995,https://www.bmw.de/de/neufahrzeuge.html,4 er,"Ab 63.600,00 €"
2025-04-07 07:40:10.373441,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 63.600,00 €"
2025-04-07 07:40:10.423950,https://www.bmw.de/de/neufahrzeuge.html,3 er,"Ab 51.100,00 €"
2025-04-07 07:40:10.462818,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 51.100,00 €"
2025-04-07 07:40:10.506146,https://www.bmw.de/de/neufahrzeuge.html,3 er,"Ab 52.400,00 €"
2025-04-07 07:40:10.542042,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 52.400,00 €"
2025-04-07 07:40:10.601201,https://www.bmw.de/de/neufahrzeuge.html,2 er,"Ab 52.700,00 €"
2025-04-07 07:40:10.672264,https://www.bmw.de/de/neufahrzeuge.html,2 er,"Ab 41.700,00 €"
2025-04-07 07:40:10.749907,https://www.bmw.de/de/neufahrzeuge.html,2 er,"Ab 42.100,00 €"
2025-04-07 07:40:10.814993,https://www.bmw.de/de/neufahrzeuge.html,1 er,"Ab 38.200,00 €"
2025-04-07 07:40:10.870704,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.010822,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.067785,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.158660,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.235708,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.302885,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.360800,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
2025-04-07 07:40:11.425939,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 38.200,00 €"
