"_STATUS","Position","_PREV_Position","Vehicle Name","Vehicle Type","Availability","Engine Type","Transmission","Power","Color","Mileage","Registration Date","Monthly Rate","Vehicle Price","Down Payment","Loan Amount","Final Payment","Annual Interest Rate","CO2 Emissions","Details Link","Vehicle Image","_PREV_Vehicle Name","_PREV_Vehicle Type","_PREV_Availability","_PREV_Engine Type","_PREV_Transmission","_PREV_Power","_PREV_Color","_PREV_Mileage","_PREV_Registration Date","_PREV_Monthly Rate","_PREV_Vehicle Price","_PREV_Down Payment","_PREV_Loan Amount","_PREV_Final Payment","_PREV_Annual Interest Rate","_PREV_CO2 Emissions","_PREV_Details Link","_PREV_Vehicle Image"
"ADDED",18,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Amazon Grey","19.019 Km","05/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efc78c8aafb5297798a53e","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/8eb65995ac54b186110cb827887323102e_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,19,,,,,,,,,,,,,,,,,,,"Hyundai KONA Elektro MY25 65 kWh Trend Navi LED","Neufahrzeug","Sofort verfügbar","Elektro","Automatik","160 kW (218 Ps)","Blau / Sailing Blue",,,"329 €","37.190 €","7.438 €","29.752 €","22.920 €","6.49 %","0 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67a0898a9e7b0d14a13a9b3b","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/21f313611e3a1666d103ffc95b9d84784_ori_small.jpg"
"ADDED",19,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Amazon Grey","20.644 Km","06/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efc74b8aafb529779898a5","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/8eb65995ac54b186110cb827887323102e_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,20,,,,,,,,,,,,,,,,,,,"Kia cee'd sw Plug-in-Hybrid Vision Navi LED TOP","Gebrauchtfahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","104 kW (141 Ps)","Blau / Blue Flame met.","9.633 Km","05/2021","213 €","22.990 €","4.598 €","18.392 €","13.794 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67ed05fec06603672eb96f50","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/aa43d6dab2b7f7b421007a736f63019e_ori_small.jpg"
"ADDED",20,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Amazon Grey","22.950 Km","07/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efc1d08aafb52977947dd5","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/8eb65995ac54b186110cb827887323102e_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,21,,,,,,,,,,,,,,,,,,,"Hyundai i20 1.2 Select - Allwetterreifen, Klima","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","62 kW (84 Ps)","Grau / Star Dust","38.230 Km","07/2020","107 €","11.490 €","2.298 €","9.192 €","6.894 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67e573a27a23a5fb4e117f55","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/d70e78888fe4de6eb0fbfb36104b0feda_ori_small.jpg"
"ADDED",21,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Amazon Grey","28.591 Km","08/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efc17d8aafb52977939d14","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/8eb65995ac54b186110cb827887323102e_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,22,,,,,,,,,,,,,,,,,,,"Kia Ceed Platinum PHEV","Gebrauchtfahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","104 kW (141 Ps)","Weiß /","39.500 Km","01/2022","213 €","22.990 €","4.598 €","18.392 €","13.794 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67e557cf7a23a5fb4e0f92d3","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/aa43d6dab2b7f7b421007a736f63019e_ori_small.jpg"
"ADDED",22,,"Hyundai i30 1.0 Turbo 48V Select Funktionsp. 16 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Silber / Shimmering Silver","13.655 Km","03/2022","162 €","17.490 €","3.498 €","13.992 €","10.494 €","6.49 %","137 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efb6751c71406f62931ac9","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/1569d231e7226710d7108bc5742b2c671b_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,23,,,,,,,,,,,,,,,,,,,"Hyundai i30 1.0 Turbo 7-DCT Edition 30+ Navi Klimaaut.","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Automatik","88 kW (120 Ps)","Weiß / Polar White","55.835 Km","09/2021","158 €","16.990 €","3.398 €","13.592 €","10.194 €","6.49 %","123 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67dd2e6891211fb915283bd0","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/d70e78888fe4de6eb0fbfb36104b0feda_ori_small.jpg"
